lon,lat,temperature,geometry
2.3424,48.849,24.677244,"POLYGON ((2.3595711726058313 48.83785113247366, 2.3592948121771617 48.860333566905844, 2.3252214795313617 48.86014629051671, 2.325512535685667 48.83766393308181, 2.3595711726058313 48.83785113247366))"
2.3765,48.85,24.665602,"POLYGON ((2.3936642058010538 48.83884624953854, 2.393402552040341 48.86132874054044, 2.359328445951154 48.86115117536369, 2.359604796207475 48.83866875736684, 2.3936642058010538 48.83884624953854))"
2.4808,48.807,24.624565,"POLYGON ((2.497927739575517 48.79583087038696, 2.497711257004377 48.81831443219488, 2.4636649240078423 48.818166564245864, 2.4638960794122813 48.79568306322637, 2.497927739575517 48.79583087038696))"
2.3413,48.872,24.605782,"POLYGON ((2.358478988354542 48.860851520589186, 2.358202034369509 48.88333348615637, 2.3241136572957095 48.88314590039644, 2.3244053199802606 48.860664011958725, 2.358478988354542 48.860851520589186))"
2.3775,48.828,24.588678,"POLYGON ((2.3946567503152223 48.81684588741549, 2.394395635120598 48.83932882328372, 2.3603359076345054 48.83915153940044, 2.3606117069296957 48.816668676417095, 2.3946567503152223 48.81684588741549))"
2.4818,48.785,24.51627,"POLYGON ((2.498920305596241 48.77383051149317, 2.4987043421065547 48.79631451106483, 2.4646723641698163 48.796166925051565, 2.464902988127409 48.77368298614868, 2.498920305596241 48.77383051149317))"
2.4467,48.806,24.510483,"POLYGON ((2.4638347111202377 48.79483574728348, 2.463603533012043 48.81731926503781, 2.4295579528305034 48.81716168543748, 2.429803803037235 48.79467823246364, 2.4638347111202377 48.79483574728348))"
2.4477,48.784,24.474466,"POLYGON ((2.4648272744439814 48.77283538850099, 2.4645966216021544 48.79531934398422, 2.4305653956888618 48.79516204613197, 2.4308107082650214 48.77267815530943, 2.4648272744439814 48.77283538850099))"
2.4126,48.806,24.47005,"POLYGON ((2.4297420077859413 48.794840636099686, 2.429496130169806 48.817324085716706, 2.3954506562563376 48.8171567946252, 2.3957112057879337 48.794673413780835, 2.4297420077859413 48.794840636099686))"
2.3754,48.872,24.465027,"POLYGON ((2.3925716891337814 48.86084662771217, 2.3923094531911033 48.88332867017909, 2.3582209564132275 48.88315079526972, 2.3584979012619067 48.86066882593975, 2.3925716891337814 48.86084662771217))"
2.4116,48.828,24.454836,"POLYGON ((2.4287494538603904 48.816840996552955, 2.428503044333627 48.83932400487299, 2.3944432039920827 48.83915643225913, 2.39470429781392 48.8166734928317, 2.4287494538603904 48.816840996552955))"
2.5149,48.808,24.450323,"POLYGON ((2.5320207645714974 48.79682599558538, 2.5318189781372142 48.81930959724653, 2.49777189864993 48.819171440959295, 2.497988358641375 48.796687896094426, 2.5320207645714974 48.79682599558538))"
2.4798,48.83,24.414022,"POLYGON ((2.496935508580455 48.818831240905794, 2.4967185024690304 48.841314341448964, 2.4626571485305715 48.841166191730004, 2.4628888404199607 48.818683152095005, 2.496935508580455 48.818831240905794))"
2.4137,48.783,24.410774,"POLYGON ((2.430834218448844 48.771840253262965, 2.430588919944809 48.79432416066296, 2.3965584520559564 48.79415717946406, 2.3968184095504115 48.771673340704915, 2.430834218448844 48.771840253262965))"
2.3061,48.894,24.409426,"POLYGON ((2.3232937801305984 48.88285679536248, 2.3230015130423696 48.905338227583556, 2.288898859415735 48.90514062170561, 2.28920584741132 48.88265927073873, 2.3232937801305984 48.88285679536248))"
2.4106,48.851,24.405943,"POLYGON ((2.4277572355301342 48.839841368695645, 2.427510289046511 48.86232391206711, 2.3934354158425433 48.86215605811847, 2.393697059580832 48.839673583759755, 2.4277572355301342 48.839841368695645))"
2.4457,48.829,24.403105,"POLYGON ((2.4628424829514923 48.81783611768236, 2.462610774830842 48.8403191742141, 2.4285501745275306 48.84016131304159, 2.4287965676901546 48.81767832141028, 2.4628424829514923 48.81783611768236))"
2.3072,48.871,24.38513,"POLYGON ((2.324385954506537 48.85985640550007, 2.32409428798494 48.88233831032772, 2.2900066915348116 48.88214101357371, 2.2903130659737365 48.85965918986788, 2.324385954506537 48.85985640550007))"
2.5159,48.785,24.366354,"POLYGON ((2.533013005390575 48.7738256268122, 2.532811735569096 48.79630968601326, 2.4987796642951117 48.796171811728556, 2.498995594745234 48.77368780920419, 2.533013005390575 48.7738256268122))"
2.3403,48.894,24.366285,"POLYGON ((2.3574864597226384 48.88285188608588, 2.3572089600262296 48.90533339976503, 2.3231061797143875 48.90514553298437, 2.3233984005367705 48.88266409655506, 2.3574864597226384 48.88285188608588))"
2.4147,48.761,24.359207,"POLYGON ((2.4318267854915296 48.749839896295505, 2.4315820179728087 48.77232423794403, 2.3975658911868476 48.77215753834274, 2.397825305348834 48.74967326521513, 2.4318267854915296 48.749839896295505))"
2.3786,48.805,24.357708,"POLYGON ((2.3957489511521244 48.79384550282966, 2.3954884220310664 48.81632890021788, 2.3614437132681645 48.81615192598931, 2.36171891354867 48.79366860135398, 2.3957489511521244 48.79384550282966))"
2.4828,48.762,24.336353,"POLYGON ((2.4999125502777346 48.75083014462207, 2.49969710941963 48.77331459809007, 2.4656801259436816 48.77316729391797, 2.4659102143589715 48.750682900999024, 2.4999125502777346 48.75083014462207))"
2.3434,48.827,24.336317,"POLYGON ((2.3605637144233342 48.81585077046354, 2.3602878987550717 48.83833364972679, 2.3262289439107717 48.8381466544406, 2.326519442910848 48.8156638520543, 2.3605637144233342 48.81585077046354))"
2.4488,48.762,24.333145,"POLYGON ((2.465919822786104 48.750835017089265, 2.4656897378395253 48.773319407049186, 2.431672853520655 48.77316241946068, 2.4319175858537356 48.750678094029986, 2.465919822786104 48.750835017089265))"
2.3083,48.849,24.330774,"POLYGON ((2.3254784655079384 48.837856027464134, 2.325187393578809 48.86033838093724, 2.291114186737712 48.860141393530085, 2.291419954175566 48.83765912104656, 2.3254784655079384 48.837856027464134))"
2.5139,48.83,24.305555,"POLYGON ((2.531028202260714 48.8188263562973, 2.530825902498633 48.84130951671318, 2.496764454769484 48.8411710783347, 2.4969814404711865 48.818687974834575, 2.531028202260714 48.8188263562973))"
2.3744,48.895,24.293255,"POLYGON ((2.391579487400581 48.883847003380865, 2.3913167070584485 48.90632857356403, 2.357213151650196 48.90615041760138, 2.357490653890794 48.88366892067546, 2.391579487400581 48.883847003380865))"
2.4447,48.851,24.281832,"POLYGON ((2.461849932750987 48.83983647995365, 2.461617698466514 48.86231909170537, 2.4275427185296716 48.862160948856726, 2.427789650252847 48.83967840212526, 2.461849932750987 48.83983647995365))"
2.305,48.916,24.277391,"POLYGON ((2.3222012823661267 48.90485717688442, 2.3219084196666504 48.92733815339906, 2.2877913509595604 48.92714023826158, 2.288098947007685 48.90465934313339, 2.3222012823661267 48.90485717688442))"
2.272,48.893,24.27547,"POLYGON ((2.2892007456276287 48.88186168224734, 2.288893760132327 48.90434304955933, 2.2547918943159204 48.904135732908884, 2.255113599924151 48.88165445084353, 2.2892007456276287 48.88186168224734))"
2.2709,48.915,24.257711,"POLYGON ((2.28810825055345 48.903862063660036, 2.2878006632382015 48.926342975288954, 2.2536843831700937 48.92613534957402, 2.2540067030382853 48.90365452332414, 2.28810825055345 48.903862063660036))"
